"Sample","OLFM4","NLRP3","CCR7","CRP","MAPK14","CX3CR1","ELANE","GATA3","HIF1A","HLA.DRA","HMGB1","ICAM1","IFNA2","IFNB1","IFNG","IL1B","IL6","CXCL8","IL10","CXCL10","ITGAM","ARG1","LBP","LCN2","MMP8","MMP9","MYD88","NOTCH1","P2RX7","PDCD1","PLAUR","TREM1","CD177","PTX3","BCL2","S100A8","S100A9","S100A12","CCL2","CCL19","CCL25","TLR2","TLR4","TNF","C3AR1","C5AR1","CCR2","VCAM1","IL1R2","CALCA","TNFSF10","SOCS3","CD14","Label"
"GSM1691721",4.97802577,7.4961517,10.47465051,3.520121977,9.596684299,7.88736864,4.194087371,6.914886006,10.25373025,11.72691662,7.723987209,7.671991191,3.025622855,2.241742692,4.334634881,8.567734721,3.142154981,5.116746216,4.185733782,4.566108425,9.746764886,6.007931338,3.459095073,5.987299498,5.686269675,9.003141993,9.984611579,8.951091046,6.787246042,4.428042566,8.447898873,9.858626992,4.9324447,3.943322434,8.288500158,11.56644668,11.13455413,10.61587221,3.482253338,5.018848491,3.442267996,9.881879106,9.091054047,6.78174044,7.151390705,9.571160651,9.336116015,3.826545747,8.27028418,2.96670915,11.55222183,6.240025185,10.07867362,"Healthy"
"GSM1691722",5.08324866,7.80455804,10.47422922,3.973452953,9.874971448,8.186773571,5.002792628,6.212806468,10.16638897,11.32519118,7.077144771,8.154410134,2.589914421,2.363535214,4.28730617,9.023601141,3.001124419,5.099179267,3.768052261,4.728097487,9.64055578,6.81822246,2.802783032,8.150785847,7.272914484,8.727257189,10.22759681,9.150254288,7.075757009,4.436442896,8.66894582,10.37611426,7.812727328,4.242768832,8.490438261,11.51842038,11.12473926,10.66393688,3.158688663,4.894225893,3.316950244,9.746711601,9.796316998,6.425636732,7.225918945,9.91001581,8.481035381,3.732865199,8.605431499,3.443596914,11.45409511,6.95509553,10.23830055,"Healthy"
"GSM1691723",4.4533604,7.554951908,10.29524772,3.435072576,9.856538826,7.836467595,4.335918535,7.188162644,10.75603732,11.07939009,6.674672237,7.9892437,3.288971166,2.502975807,3.828979025,9.391429414,3.287004274,4.851307059,3.856091116,4.134258084,9.689175677,6.495876346,3.35862103,6.597329111,4.711333004,8.867724592,10.16654585,9.120086838,6.692123101,3.528312986,9.236267738,10.30994326,7.371648462,4.35413679,8.809257181,10.08476715,10.04325642,9.672306605,2.941453909,4.961438481,3.217146669,9.908790233,10.18185655,6.454356336,7.548077298,10.14353082,8.944464218,3.351892376,8.80606214,3.579869716,11.4609102,6.855282896,10.3218188,"Healthy"
"GSM1691724",4.593992785,7.811337692,9.610669275,3.90840501,9.540594,8.54823938,5.742372271,7.030423077,10.37381738,11.40338932,7.37058952,8.073415984,2.563190872,2.385444568,3.9944632,9.372969911,3.156921179,4.528726561,3.75884876,3.907393172,9.970853597,5.488359299,3.323388489,6.903925238,6.617681155,9.146376987,10.29067935,9.155690032,7.044297357,4.470698319,8.944001067,10.69682183,4.43213274,4.154063189,8.577256193,10.47936406,10.52866895,10.05120873,4.537336975,5.034825004,3.297740054,10.12119444,9.317165247,6.617500377,7.983547211,10.08871728,8.594545132,3.413335595,8.574550651,3.673649044,11.54693718,7.074081807,10.32620891,"Healthy"
"GSM1691725",4.923188387,7.851869592,10.70340834,3.8105905,9.115223203,8.30927729,5.795656761,6.86696641,10.56474643,11.26635285,6.879886855,8.167340847,2.204739397,3.374520584,3.976875951,8.718957789,3.571618523,5.623095606,3.305989913,5.186758294,9.57492884,5.383920447,3.057394867,7.424622339,6.58667164,8.989080044,10.47307999,9.591040137,6.536179107,5.326689861,8.867792672,10.49318241,5.046894978,4.52671476,9.145517853,10.57995798,10.28187172,9.511193582,6.119451334,4.812825761,3.863057884,9.671366302,9.94883566,7.164085508,7.956449155,9.986973552,8.499618118,3.235400916,8.641983256,4.082451047,11.84544844,6.78396686,10.33661092,"Healthy"
"GSM1691726",5.901548338,7.7929776,9.530535046,3.818521865,9.487665315,8.38781253,4.753322285,6.6262864,10.53541752,11.71050311,6.780106332,8.180983461,2.967461745,2.566924296,5.178332223,8.871353438,3.944071286,4.811999627,4.126246056,4.583661504,9.800520007,5.812121101,3.410800114,6.659704879,5.492458164,8.104093141,9.880185942,9.105750267,6.896203708,3.851514359,8.812125842,9.78867875,4.905893784,4.396908494,8.182038035,9.974907297,10.47669426,9.341568795,3.969460529,4.905700409,3.5215995,10.14224246,9.69439038,6.533616849,8.02923572,9.507202909,9.069437305,3.412496031,8.597807665,4.335745779,11.38266866,6.067868055,10.01270381,"Healthy"
"GSM1691727",6.963823445,7.868494222,9.277329348,3.901694784,9.259576519,7.780118805,6.916816106,6.506782477,10.75177255,11.68313074,7.085617799,7.75789203,3.376165143,2.201169693,3.603312935,8.85601936,2.913542692,7.084877459,4.504834269,4.399074712,9.996824839,7.040821562,2.919785913,9.018615658,8.680722874,9.097481273,10.32315641,9.214910202,6.985674056,4.925152938,9.010699908,10.66556316,4.619219703,5.757390078,7.931917851,11.793709,11.27426973,10.9904449,4.634703212,4.771921966,3.371267767,10.60317195,10.47274451,6.743815025,7.60490877,10.13170065,9.42641324,3.182564393,9.314761557,3.095004031,11.76810891,5.711642922,10.79502479,"Healthy"
"GSM1691728",3.888979389,7.702888553,10.4891722,4.474157182,9.521903086,8.247971447,4.900836438,7.134961505,10.11135172,11.43360067,5.667656197,7.9713439,1.959455518,2.246525289,4.376343613,8.985689843,3.198059825,4.152810336,4.370679654,3.670246044,9.510395888,5.433839813,3.293576667,6.285024267,4.787292905,9.204811379,10.592027,9.199035343,7.413729366,5.192967326,8.9956436,10.11645799,5.079833635,3.85002618,8.598964177,10.03093215,10.07866253,9.038964285,4.192262426,4.510247489,3.658007962,10.00601594,9.759665729,7.090796795,7.210416924,10.08732992,8.43062548,3.632094396,8.7511131,4.057980112,11.10659917,6.597597468,10.3531134,"Healthy"
"GSM1691729",4.537719619,7.541370796,10.69245354,3.909447781,9.210434153,7.35338342,4.403025651,6.726236276,10.34022591,11.52476377,7.804080076,7.836404705,2.921796617,3.16722692,4.049713282,9.093816527,3.802080173,5.310542869,3.543599513,3.801673219,9.65743828,4.831417903,3.383239318,6.258625142,6.790740615,9.134243522,10.13379562,8.802987938,6.597505984,4.919488672,8.741817741,10.38885596,4.889217277,4.106009943,8.909787751,10.70118919,10.65963571,10.02580305,3.565312082,4.948440547,3.443628745,9.081392727,10.25716404,6.595847932,7.294030602,9.792384114,8.18677726,3.488609459,8.831812054,3.161055397,11.44523604,6.181268416,10.03882274,"Healthy"
"GSM1691730",3.825685729,7.183300119,11.3269319,3.305357831,9.406965084,7.283926657,5.077461424,6.704276965,9.959366142,11.20678523,7.508288327,7.121429062,2.400366602,3.352476477,3.69953123,8.693166904,3.667687135,4.274528711,3.388050767,3.903693544,8.979150056,5.001316805,3.533996625,5.590025447,5.055677571,8.217219254,10.19675944,8.961044989,6.773900094,4.914924502,8.53880142,9.775363024,5.254135168,4.324744665,8.65443772,9.736165446,10.0787754,9.131828919,3.850128792,5.11688617,3.233602872,10.03651685,9.320949533,6.720874812,6.370171443,9.794441973,8.15850388,2.896619394,8.520270355,3.045720148,11.4507308,5.234457509,9.800785387,"Healthy"
