"","x"
"1","CALCA"
"2","CRP"
"3","TREM1"
"4","PLAUR"
"5","LBP"
"6","IL6"
"7","HMGB1"
"8","ELANE"
"9","CXCL8"
"10","IL10"
"11","IL1B"
"12","S100A8"
"13","S100A9"
"14","S100A12"
"15","CD14"
"16","FCGR1A"
"17","ITGAM"
"18","C3AR1"
"19","C5AR1"
"20","LCN2"
"21","CXCL10"
"22","IFNG"
"23","IFNB1"
"24","CCL19"
"25","CCL25"
"26","CX3CR1"
"27","P2RX7"
"28","PTX3"
"29","TNFSF10"
"30","MMP8"
"31","MMP9"
"32","HLA-DRA"
"33","TNF"
"34","MYD88"
"35","NLRP3"
"36","TLR2"
"37","TLR4"
"38","NOTCH1"
"39","BCL2"
"40","PDCD1"
"41","CCL2"
"42","ARG1"
"43","IL1R2"
"44","CD177"
"45","OLFM4"
"46","MAPK14"
"47","VCAM1"
"48","ICAM1"
"49","SOCS3"
"50","GATA3"
"51","CCR7"
"52","CCR2"
"53","HIF1A"
